entrada,exato,heuristico_10,heuristico_100,heuristico_1000,brkga, time_exato,time_heuristico_10,time_heuristico_100,time_heuristico_1000,time_brkga
./yes20250530_024819_yes/n40/instancia_00.txt,181,244,211,200,181,0.708956,0.010894,0.045046,0.316554,4.248003
./yes20250530_024819_yes/n40/instancia_01.txt,487,494,487,487,487,1.770869,0.010997,0.049776,0.372614,5.833582
./yes20250530_024819_yes/n40/instancia_02.txt,311,366,311,317,311,20.08534,0.01627,0.070079,0.474539,6.174106
./yes20250530_024819_yes/n40/instancia_03.txt,161,174,161,161,161,63.518269,0.010627,0.043077,0.262945,6,536
./yes20250530_024819_yes/n40/instancia_04.txt,361,363,361,361,361,114.530212,0.014103,0.063271,0.381875,5.189976
./yes20250530_024819_yes/n40/instancia_05.txt,343,363,343,343,343,47.097637,0.011002,0.045239,0.295897,6,683
./yes20250530_024819_yes/n40/instancia_06.txt,430,451,430,430,430,4.666537,0.014712,0.069561,0.419089,5.127092
./yes20250530_024819_yes/n40/instancia_07.txt,48,78,61,55,48,71.849347,0.010515,0.037962,0.234897,4.496964
./yes20250530_024819_yes/n40/instancia_08.txt,444,453,444,444,444,12.531819,0.01367,0.065954,0.401271,5.210352
./yes20250530_024819_yes/n40/instancia_09.txt,577,577,577,577,577,2.113363,0.01434,0.068544,0.416911,6,513
